age,sleep_hours,sleep_quality,stress_level,mood_rating,physical_activity,exercise_frequency,screen_time,study_hours,social_interaction,anxiety_level,satisfaction,risk
32,7.2,9,2,5,High,3,6.1,7.2,10,9,9,Low Risk
18,6.3,7,5,1,High,5,7.5,6.4,1,1,3,Low Risk
54,7.3,5,7,1,Moderate,6,5.3,8.0,5,1,1,Low Risk
33,3.0,3,9,3,Low,5,6.1,5.8,2,1,8,Low Risk
48,7.3,2,3,1,Low,5,5.1,7.3,6,4,8,Low Risk
36,3.0,3,8,3,Low,6,4.2,4.1,10,7,10,Low Risk
34,4.4,2,7,2,Low,5,6.5,9.2,3,10,10,Low Risk
59,7.4,2,1,10,Low,6,4.4,6.8,4,5,2,Low Risk
21,7.5,7,4,1,Moderate,3,6.3,9.3,5,2,7,Low Risk
52,5.2,2,4,7,Low,1,5.6,6.6,8,4,8,Low Risk
52,5.8,1,9,4,Low,1,4.9,6.7,10,2,7,Low Risk
35,8.7,6,10,2,Moderate,4,4.8,4.6,1,5,1,Low Risk
29,6.1,3,9,8,Moderate,4,4.5,8.5,5,8,1,Low Risk
17,9.9,5,6,10,High,0,2.2,5.2,8,1,7,Low Risk
61,6.8,2,5,8,Low,1,6.3,6.0,1,8,9,Low Risk
62,7.4,3,4,10,Moderate,7,6.0,7.0,9,3,2,Low Risk
28,9.1,5,8,6,Low,5,7.2,7.2,3,7,1,Low Risk
18,7.0,7,1,7,Moderate,6,4.4,3.6,6,9,5,Low Risk
22,5.4,5,3,2,Low,1,9.3,6.5,10,8,4,Low Risk
20,6.6,6,2,9,Low,0,4.7,8.6,7,7,10,Low Risk
56,6.8,6,5,8,Moderate,2,3.7,6.2,10,7,10,Low Risk
59,4.9,3,3,3,Low,6,3.5,6.6,7,2,6,Low Risk
24,6.4,3,2,4,Low,4,2.0,7.3,3,2,10,Low Risk
52,5.8,5,4,7,High,6,8.6,6.7,7,4,3,Low Risk
25,8.1,1,9,1,Low,3,8.2,4.9,7,7,10,Low Risk
34,6.8,7,6,9,Moderate,3,6.7,6.9,4,7,5,Low Risk
45,6.4,7,9,3,Moderate,4,3.7,9.0,1,8,5,Low Risk
51,6.7,4,10,1,Low,7,9.1,4.9,7,4,1,Low Risk
58,7.1,4,10,4,Moderate,3,4.8,6.3,6,9,2,Low Risk
19,7.7,4,4,9,Low,4,5.0,4.2,8,5,2,Low Risk
26,5.4,7,9,3,Moderate,7,8.4,8.9,2,3,5,Low Risk
30,5.3,8,10,6,Low,2,6.8,6.8,6,8,2,Low Risk
31,8.3,2,10,9,Low,6,9.9,5.3,9,2,2,Low Risk
64,6.2,5,4,1,Low,4,6.0,7.2,9,5,7,Low Risk
54,4.8,1,3,8,High,7,4.7,4.6,10,8,9,Low Risk
32,7.4,5,6,3,Moderate,3,4.3,4.9,3,8,1,Low Risk
63,7.4,3,10,7,High,5,1.8,4.1,2,3,6,Low Risk
40,4.7,4,10,2,Moderate,2,4.9,4.9,6,2,10,Low Risk
41,7.1,5,6,2,Moderate,5,7.8,9.7,5,1,5,Low Risk
37,7.8,4,2,8,Moderate,2,6.7,5.5,3,1,2,Low Risk
23,7.3,4,5,9,High,4,5.5,7.9,2,9,1,Low Risk
61,7.7,8,8,10,Moderate,6,3.5,5.3,2,8,10,Low Risk
17,4.8,9,6,7,Moderate,3,6.0,8.5,4,6,5,Low Risk
25,7.3,1,4,5,Moderate,3,7.5,4.9,8,6,2,Low Risk
28,6.4,4,4,2,Moderate,2,6.4,7.1,1,4,9,Low Risk
30,6.1,9,1,3,Low,5,5.8,7.1,2,2,9,Low Risk
23,8.0,6,3,7,Moderate,4,3.9,11.7,3,1,8,Low Risk
17,8.9,3,7,4,Low,4,7.2,8.3,9,7,1,Low Risk
49,9.3,6,3,5,High,0,1.0,5.8,10,1,1,Low Risk
63,8.6,2,10,2,Moderate,0,6.3,8.4,5,2,3,Low Risk
22,6.6,1,1,5,High,0,10.6,11.3,1,8,2,Low Risk
31,7.3,7,6,3,Moderate,6,2.5,3.7,1,6,6,Low Risk
41,7.9,6,5,2,Moderate,6,5.0,5.3,9,5,4,Low Risk
61,7.0,8,9,2,Low,0,5.5,6.5,5,3,8,Low Risk
50,7.0,4,9,6,High,0,4.6,6.2,1,2,2,Low Risk
53,8.0,9,6,4,Moderate,6,7.6,6.3,9,5,8,Low Risk
44,6.7,5,7,1,Low,4,6.4,4.4,6,4,10,Low Risk
37,5.8,8,7,6,Low,2,5.8,9.8,4,6,2,Low Risk
26,6.2,2,6,2,Low,4,7.1,4.2,5,2,7,Low Risk
58,7.7,1,2,1,Moderate,1,5.5,6.6,3,3,6,Low Risk
55,6.8,8,5,2,Moderate,1,11.9,9.1,10,2,1,Low Risk
18,7.3,9,3,5,High,2,5.8,6.9,8,5,3,Low Risk
51,7.7,10,5,10,Moderate,7,5.9,5.0,2,3,8,Low Risk
21,6.3,4,7,3,Moderate,6,2.1,4.3,8,3,9,Low Risk
52,7.9,1,3,3,Moderate,1,4.4,6.5,2,6,4,Low Risk
56,7.3,10,3,3,High,4,7.8,5.5,5,5,2,Low Risk
23,5.1,7,9,4,High,7,2.8,7.4,8,3,3,Low Risk
37,8.8,3,4,8,Low,7,1.2,4.2,1,7,9,Low Risk
22,6.1,8,2,4,High,6,5.6,8.6,8,4,6,Low Risk
44,4.5,10,8,7,Moderate,1,8.2,7.2,3,4,5,Low Risk
61,5.3,3,8,9,High,1,5.6,7.4,7,5,1,Low Risk
20,5.4,8,9,10,High,1,4.8,9.9,5,2,8,Low Risk
36,6.9,8,8,6,Moderate,1,1.8,6.1,1,5,5,Low Risk
63,6.4,6,10,8,Low,1,6.4,5.5,8,6,6,Low Risk
31,6.3,7,6,10,Moderate,2,6.8,5.9,3,2,9,Low Risk
23,7.7,3,3,8,Low,4,1.9,6.6,10,6,6,Low Risk
40,7.3,10,9,3,Moderate,3,7.8,6.8,9,1,10,Low Risk
41,7.2,10,3,2,Low,3,7.0,5.3,2,7,6,Low Risk
48,7.4,10,3,2,Moderate,1,7.8,3.0,7,1,4,Low Risk
32,7.7,8,9,9,High,1,6.7,5.9,4,2,10,Low Risk
62,3.8,1,9,6,Low,7,6.8,7.7,7,4,7,Low Risk
42,6.3,4,4,3,Moderate,4,6.5,7.3,6,7,8,Low Risk
30,3.7,5,8,4,Moderate,1,7.2,9.4,3,8,3,Low Risk
63,6.9,10,10,3,Moderate,6,1.9,10.9,7,5,7,Low Risk
61,6.8,6,8,9,Low,6,2.5,8.5,3,2,6,Low Risk
40,8.3,6,1,7,Low,7,4.0,9.8,10,4,2,Low Risk
18,8.5,2,7,9,Moderate,1,5.2,8.5,10,8,3,Low Risk
45,7.1,8,2,4,Moderate,5,6.3,10.4,2,1,10,Low Risk
43,6.1,4,9,5,Moderate,7,6.1,10.7,8,8,6,Low Risk
24,7.5,1,1,2,Low,6,7.7,8.9,10,4,8,Low Risk
47,6.1,10,10,10,Moderate,1,7.8,8.4,2,1,2,Low Risk
57,6.8,2,2,6,Moderate,7,3.8,6.6,8,7,3,Low Risk
22,8.2,1,5,6,Low,3,6.0,6.9,10,1,10,Low Risk
51,6.0,1,3,5,Moderate,3,3.8,6.3,3,4,5,Low Risk
23,7.9,5,9,3,Low,4,5.1,8.2,6,2,9,Low Risk
52,7.7,2,4,10,Moderate,6,6.1,5.6,8,6,9,Low Risk
37,5.5,9,8,5,High,0,1.0,6.6,4,1,4,Low Risk
17,8.2,6,1,7,Moderate,4,10.3,2.3,3,1,10,Low Risk
63,7.8,4,5,1,Moderate,6,6.6,10.4,4,6,8,Low Risk
24,6.9,1,10,3,Low,4,4.3,6.6,4,10,2,Moderate Risk
45,5.7,5,10,9,Low,2,9.4,7.9,8,1,1,Low Risk
25,5.6,2,3,1,Low,0,4.8,9.9,4,5,2,Low Risk
61,6.0,10,4,2,Moderate,4,5.8,7.6,4,9,8,Low Risk
52,7.6,3,5,9,High,5,4.5,9.9,10,3,2,Low Risk
55,5.5,5,6,4,Low,4,8.8,4.5,6,5,3,Low Risk
37,7.4,1,6,3,Low,7,5.3,11.8,10,9,5,Low Risk
39,5.1,2,2,6,Low,4,5.8,9.2,8,8,2,Low Risk
47,6.5,3,8,2,Moderate,4,7.9,7.4,9,3,4,Low Risk
54,7.0,1,3,1,Moderate,0,6.7,9.9,2,8,7,Low Risk
57,10.0,8,4,1,Moderate,4,5.4,4.7,10,7,10,Low Risk
17,4.9,10,9,1,High,1,7.7,6.4,10,6,5,Low Risk
48,8.9,10,7,2,Low,5,10.6,9.9,1,5,8,Low Risk
22,7.0,3,4,7,Moderate,1,6.1,3.3,4,10,6,Low Risk
30,7.4,8,10,3,Moderate,7,5.7,8.1,5,9,5,Low Risk
56,7.0,6,4,1,Low,2,5.8,8.1,5,10,6,Low Risk
29,7.4,1,6,1,High,3,8.1,10.9,8,7,10,Low Risk
55,6.6,1,3,5,Low,1,4.3,3.8,7,4,1,Low Risk
39,8.8,6,2,9,Moderate,1,4.9,10.2,3,2,6,Low Risk
28,6.2,5,5,4,Moderate,7,2.4,5.9,7,2,1,Low Risk
33,8.4,1,6,1,High,2,3.1,6.1,10,10,9,Low Risk
42,5.9,10,9,3,Moderate,4,4.5,4.6,5,4,7,Low Risk
53,6.7,8,4,5,Low,7,5.4,4.8,10,2,1,Low Risk
46,5.3,6,9,2,High,4,9.0,7.8,7,3,7,Low Risk
61,7.4,10,7,10,Moderate,0,6.6,4.8,10,1,5,Low Risk
58,8.8,10,1,8,Moderate,2,3.7,8.5,10,6,1,Low Risk
53,6.7,10,8,4,Moderate,3,4.0,5.7,1,6,10,Low Risk
45,6.5,3,6,10,Low,2,8.2,4.6,9,4,4,Low Risk
30,5.2,9,4,4,Moderate,1,7.8,5.9,2,8,1,Low Risk
36,6.5,6,5,2,High,4,5.6,7.7,9,5,7,Low Risk
22,4.6,8,4,10,Low,3,4.6,6.4,9,10,4,Low Risk
34,5.5,9,7,10,Moderate,2,7.7,7.1,3,8,7,Low Risk
61,7.1,2,6,4,High,3,3.5,8.4,1,1,2,Low Risk
37,8.6,5,5,6,Moderate,2,6.3,9.2,5,3,9,Low Risk
22,10.0,2,3,2,High,1,10.0,6.4,4,8,5,Low Risk
48,6.0,3,4,7,Moderate,3,5.9,4.9,6,6,5,Low Risk
63,8.8,5,5,7,High,7,3.9,7.2,1,8,9,Low Risk
58,7.1,9,5,8,Low,4,6.3,7.9,1,4,6,Low Risk
30,6.6,9,4,6,Moderate,4,4.6,4.1,5,1,1,Low Risk
38,7.4,4,6,8,Moderate,7,2.7,5.2,8,8,6,Low Risk
42,6.9,4,3,6,Moderate,4,6.9,5.6,4,8,7,Low Risk
28,7.0,6,6,9,High,1,7.7,6.6,4,7,4,Low Risk
29,6.2,10,2,2,Moderate,3,4.9,5.5,2,5,2,Low Risk
28,4.8,10,5,5,Moderate,3,4.7,8.4,3,1,1,Low Risk
64,4.6,3,8,5,Moderate,3,3.6,3.8,3,8,9,Low Risk
52,7.7,2,9,6,Moderate,1,5.2,3.8,3,7,1,Low Risk
57,6.4,8,7,2,Moderate,0,4.4,6.3,4,7,6,Low Risk
56,6.0,4,8,4,Low,2,3.5,6.6,3,2,9,Low Risk
63,6.8,2,1,10,Moderate,7,9.3,4.1,7,8,4,Low Risk
22,7.9,1,4,2,High,5,6.4,5.8,4,8,3,Low Risk
59,7.1,5,7,7,Moderate,6,6.6,6.2,8,9,8,Low Risk
20,5.9,4,9,7,Moderate,1,7.3,6.2,7,6,7,Low Risk
39,8.5,6,6,5,Moderate,3,7.0,7.3,7,8,1,Low Risk
45,9.0,3,9,1,Moderate,4,4.7,5.7,6,5,6,Low Risk
34,7.5,8,3,1,Low,3,6.0,10.0,10,7,1,Low Risk
24,8.2,7,2,3,Moderate,3,5.0,8.0,3,7,4,Low Risk
26,8.5,5,1,2,Moderate,2,6.4,5.4,10,8,4,Low Risk
56,8.4,2,6,1,Low,0,6.2,7.2,3,9,9,Low Risk
32,7.7,6,7,2,Low,6,4.7,7.2,2,1,10,Low Risk
31,7.6,7,3,2,Moderate,7,2.8,9.4,9,8,7,Low Risk
61,7.5,4,8,9,Moderate,0,5.8,5.8,9,8,8,Low Risk
23,5.3,3,8,7,Moderate,3,5.1,8.5,1,6,1,Low Risk
60,7.8,6,4,1,Low,4,1.7,7.1,6,6,1,Low Risk
61,4.9,4,3,7,Moderate,6,6.5,10.0,6,8,8,Low Risk
45,5.7,5,8,2,Moderate,7,7.4,9.6,3,5,5,Low Risk
24,8.6,4,7,5,Moderate,3,10.6,7.4,6,5,6,Low Risk
24,8.0,4,2,1,Moderate,5,4.7,6.5,7,9,7,Low Risk
30,8.9,8,3,1,Low,7,4.4,8.0,6,8,4,Low Risk
44,6.4,5,5,2,High,6,3.3,6.6,6,3,7,Low Risk
24,5.2,5,6,5,Low,2,5.9,10.4,9,9,8,Low Risk
38,6.5,7,2,5,Moderate,6,5.9,7.2,3,4,3,Low Risk
22,6.9,4,10,4,Low,3,3.9,6.2,7,2,7,Low Risk
42,6.9,2,4,7,Moderate,0,5.2,6.1,4,9,2,Low Risk
18,8.4,9,4,8,Low,6,1.5,4.6,10,3,4,Low Risk
51,6.3,1,1,8,High,6,7.4,8.1,3,3,8,Low Risk
19,7.3,6,9,6,Moderate,2,4.0,5.4,9,3,10,Low Risk
26,5.4,3,3,6,Moderate,3,5.4,9.2,7,5,1,Low Risk
25,7.4,3,10,5,Low,2,2.6,4.4,3,2,7,Low Risk
56,6.8,1,5,3,Low,0,4.3,7.3,8,2,6,Low Risk
19,5.8,10,9,5,Moderate,7,4.9,9.3,3,4,7,Low Risk
37,6.5,5,2,1,Moderate,0,5.5,2.7,3,3,8,Low Risk
45,6.5,4,2,10,Moderate,4,6.5,11.0,4,2,1,Low Risk
41,6.4,8,9,4,High,0,8.4,6.1,7,10,8,Low Risk
49,9.3,1,9,8,Moderate,5,7.0,7.3,4,6,3,Low Risk
55,6.7,6,6,10,High,7,7.4,8.1,6,1,2,Low Risk
35,6.5,5,1,5,Low,5,8.4,8.5,6,2,5,Low Risk
56,3.9,6,10,9,Moderate,4,6.6,7.5,2,9,1,Low Risk
32,5.5,2,4,5,Moderate,6,5.4,9.0,3,3,7,Low Risk
64,6.4,10,10,2,Moderate,7,7.5,8.0,4,2,6,Low Risk
41,5.8,3,9,1,High,6,7.6,10.5,3,7,6,Low Risk
52,8.7,7,9,2,Moderate,1,6.8,8.0,10,9,1,Low Risk
59,6.6,8,7,10,High,4,2.6,10.9,4,4,8,Low Risk
55,8.6,4,7,5,Moderate,6,3.8,8.8,5,8,1,Low Risk
57,6.9,2,6,4,Low,2,5.0,3.4,7,5,3,Low Risk
42,6.9,3,1,5,Moderate,5,7.1,12.2,8,2,4,Low Risk
19,6.7,9,4,3,Moderate,0,5.5,5.9,7,8,8,Low Risk
40,6.8,10,8,9,High,7,7.8,10.0,6,10,5,Low Risk
25,9.2,10,9,10,High,4,8.1,7.1,10,10,9,Low Risk
59,3.6,3,6,1,Low,5,7.9,9.1,9,2,10,Low Risk
28,4.0,7,8,8,Low,6,7.9,5.6,3,6,8,Low Risk
27,6.0,2,1,4,Low,1,3.4,8.3,2,7,1,Low Risk
28,6.8,8,5,1,Moderate,3,6.5,6.5,4,1,8,Low Risk
47,7.8,5,6,10,Low,6,4.3,10.2,9,10,3,Low Risk
44,7.5,8,9,1,Moderate,1,2.2,7.9,10,2,9,Low Risk
62,6.3,7,4,3,Moderate,6,4.9,8.9,8,3,10,Low Risk
36,8.2,10,3,1,High,2,8.1,2.7,7,10,1,Low Risk
30,8.2,5,4,5,Low,4,6.4,6.8,3,6,1,Low Risk
19,7.1,4,2,6,Moderate,4,9.5,7.8,6,7,7,Low Risk
17,8.1,6,6,4,Low,5,5.9,7.4,2,5,2,Low Risk
34,7.2,2,7,1,High,6,10.4,8.9,6,8,10,Low Risk
61,6.0,2,9,2,Low,2,5.9,6.3,2,1,6,Low Risk
42,7.8,6,10,10,Low,1,5.5,7.1,1,7,6,Low Risk
59,7.0,9,1,9,Low,3,2.9,9.4,10,1,9,Low Risk
21,6.8,6,3,10,High,4,7.7,2.4,9,2,3,Low Risk
21,8.9,8,4,6,Low,6,4.5,8.2,7,6,6,Low Risk
57,3.4,2,3,6,Moderate,6,4.2,6.3,7,5,10,Low Risk
22,4.8,5,9,8,Moderate,2,8.1,5.2,3,2,1,Low Risk
19,5.1,7,2,7,Moderate,7,7.8,7.7,6,8,2,Low Risk
36,6.3,4,1,5,Low,0,7.8,9.5,8,4,2,Low Risk
61,6.4,1,9,3,Low,0,4.8,9.1,6,9,4,Moderate Risk
50,4.7,1,10,5,Moderate,0,5.4,6.7,3,1,2,Low Risk
21,5.4,10,3,1,Low,7,5.4,8.8,4,3,2,Low Risk
57,5.6,7,4,2,Moderate,1,7.1,8.7,9,3,9,Low Risk
57,10.0,3,6,8,Moderate,4,8.6,6.8,3,6,5,Low Risk
55,9.3,3,6,9,Moderate,6,6.2,5.6,10,5,4,Low Risk
60,6.2,1,10,2,Low,6,9.4,5.7,8,2,5,Low Risk
28,6.3,10,5,1,Moderate,7,7.3,8.7,9,6,10,Low Risk
64,5.2,2,1,1,Low,0,5.0,6.9,6,10,5,Low Risk
32,4.1,8,5,8,Moderate,3,7.2,4.9,3,2,5,Low Risk
55,6.6,3,6,4,Low,4,8.9,3.6,1,3,10,Low Risk
44,5.4,4,6,4,High,5,9.5,8.7,6,5,1,Low Risk
54,6.7,3,6,1,Moderate,4,7.9,5.9,4,8,5,Low Risk
47,4.6,9,10,10,Low,4,5.6,7.7,2,2,8,Low Risk
47,5.7,1,9,5,Low,2,5.1,9.5,10,3,6,Low Risk
46,7.0,4,3,8,Low,0,6.7,4.4,10,3,9,Low Risk
54,7.3,3,4,8,Low,3,8.8,6.9,4,7,9,Low Risk
52,7.4,3,7,2,Low,2,6.4,6.7,7,1,4,Low Risk
23,5.0,2,5,9,High,4,6.4,7.8,5,7,9,Low Risk
56,8.0,10,5,6,Moderate,6,5.6,9.5,5,5,3,Low Risk
42,5.7,4,2,7,Low,4,4.8,4.3,7,4,3,Low Risk
32,7.7,5,3,3,Moderate,4,5.2,8.1,5,9,10,Low Risk
41,6.8,4,8,9,Low,0,5.8,9.1,9,9,1,Low Risk
63,4.9,10,9,10,High,5,8.9,6.6,2,9,4,Low Risk
58,6.4,4,8,5,Low,3,5.0,6.7,7,9,7,Low Risk
57,7.3,4,4,1,Moderate,0,5.6,7.8,10,3,5,Low Risk
39,7.7,4,2,9,Moderate,1,3.8,7.7,9,9,9,Low Risk
54,6.6,4,2,9,Low,6,6.9,8.2,1,2,3,Low Risk
35,8.9,1,4,6,Low,7,8.2,8.1,2,4,6,Low Risk
49,8.2,7,6,6,Moderate,4,8.7,5.0,7,6,2,Low Risk
47,6.4,1,9,3,High,7,5.9,9.0,10,8,3,Low Risk
28,7.9,3,9,1,Moderate,1,6.6,9.3,9,6,2,Low Risk
29,9.5,3,1,10,Moderate,2,5.2,7.4,10,6,8,Low Risk
19,9.5,3,8,5,Moderate,7,6.6,4.0,2,4,3,Low Risk
23,5.1,8,3,3,High,1,6.1,6.8,6,6,7,Low Risk
37,5.5,6,2,7,Moderate,5,5.6,7.4,8,5,4,Low Risk
39,8.9,10,6,1,Moderate,1,5.8,4.7,7,5,6,Low Risk
24,5.3,4,1,1,Moderate,2,6.4,6.3,8,6,9,Low Risk
37,4.9,10,4,3,Low,3,4.9,4.2,3,7,9,Low Risk
46,6.1,1,6,5,High,2,5.0,8.2,5,4,1,Low Risk
28,7.4,6,3,4,Low,6,8.9,7.3,5,2,8,Low Risk
33,6.7,8,6,2,Low,7,10.9,3.7,10,3,10,Low Risk
34,5.9,6,5,4,High,4,3.1,7.7,3,5,7,Low Risk
41,5.9,10,8,4,Low,4,3.0,6.9,4,2,2,Low Risk
34,5.8,4,2,6,Low,0,3.6,8.0,1,2,7,Low Risk
52,5.6,1,1,6,Low,1,5.3,6.2,2,10,7,Low Risk
32,10.0,8,6,9,Moderate,0,7.3,5.4,10,3,7,Low Risk
37,7.2,1,3,9,High,6,6.7,5.5,9,8,5,Low Risk
35,8.0,8,8,3,Low,1,5.8,5.9,3,2,6,Low Risk
25,6.1,8,1,10,Low,2,6.6,7.0,8,10,7,Low Risk
49,6.5,9,6,6,Moderate,6,4.1,7.3,6,3,5,Low Risk
28,5.8,5,10,2,High,5,5.0,6.6,10,4,8,Low Risk
31,3.1,9,1,4,Low,4,5.5,6.2,4,8,8,Low Risk
55,4.9,2,4,8,High,0,2.3,6.3,10,3,4,Low Risk
62,4.3,5,9,9,High,4,3.2,12.0,4,6,7,Low Risk
49,3.7,2,6,4,Low,4,3.3,5.5,8,8,8,Low Risk
60,5.1,8,2,2,High,2,7.0,5.9,4,1,5,Low Risk
58,8.7,8,3,2,Moderate,5,6.0,13.6,7,1,8,Low Risk
40,6.7,9,8,2,Moderate,7,6.7,7.8,4,8,2,Low Risk
53,8.6,8,9,7,Moderate,2,1.8,4.2,9,3,4,Low Risk
32,7.4,4,4,6,High,2,2.5,8.7,7,10,8,Low Risk
39,7.9,1,5,5,Moderate,2,6.8,5.2,3,10,9,Low Risk
42,5.5,10,8,7,Moderate,6,1.0,8.8,10,9,7,Low Risk
63,7.5,5,2,9,High,0,7.9,6.6,8,10,7,Low Risk
57,7.8,1,3,8,Moderate,7,1.9,6.1,5,9,4,Low Risk
40,6.0,10,8,2,High,6,7.2,10.2,2,4,8,Low Risk
48,7.6,10,2,6,High,3,3.7,8.1,10,10,4,Low Risk
26,7.6,5,8,9,Low,4,7.6,8.9,8,4,1,Low Risk
55,6.0,8,5,8,Low,7,11.9,7.9,7,6,3,Low Risk
43,5.2,1,10,4,Moderate,6,1.0,6.1,9,1,7,Low Risk
42,5.1,1,1,4,High,2,6.9,8.2,7,10,10,Low Risk
53,6.9,3,10,9,Low,0,1.9,9.4,3,6,5,Low Risk
47,7.3,7,3,1,Moderate,5,6.4,7.3,3,10,9,Low Risk
20,5.7,2,1,6,Low,1,5.1,10.6,1,4,8,Low Risk
30,6.8,1,8,2,Moderate,0,5.8,8.7,1,4,6,Low Risk
25,7.6,7,6,9,Moderate,7,3.7,7.4,8,6,9,Low Risk
52,7.7,8,9,1,Low,3,7.1,7.5,9,9,5,Low Risk
18,9.0,8,2,1,High,5,2.6,7.3,2,6,5,Low Risk
26,8.6,8,1,4,Low,1,8.0,4.5,6,8,8,Low Risk
45,5.4,9,6,3,High,0,4.7,6.8,2,3,7,Low Risk
50,9.2,7,9,5,Low,0,2.7,7.4,5,8,6,Low Risk
41,6.1,6,5,3,High,2,8.7,6.2,8,8,5,Low Risk
58,8.3,9,8,4,Moderate,0,5.4,7.7,9,9,10,Low Risk
61,6.9,4,10,6,Low,3,9.3,7.0,10,1,1,Low Risk
23,6.2,1,9,6,Low,2,7.9,8.5,4,4,1,Low Risk
62,4.3,8,6,10,Low,4,3.9,8.3,10,1,5,Low Risk
46,6.6,3,7,5,Moderate,4,5.3,7.3,8,5,1,Low Risk
47,4.6,10,6,6,High,2,5.7,4.3,4,8,4,Low Risk
21,8.2,5,7,7,Moderate,3,8.6,10.6,4,7,6,Low Risk
46,8.9,9,6,2,Moderate,0,6.4,6.7,2,8,5,Low Risk
51,5.7,1,6,7,Moderate,2,5.9,6.8,10,8,3,Low Risk
44,7.2,7,5,9,Moderate,7,5.1,6.3,3,10,3,Low Risk
21,5.8,5,7,4,Moderate,7,5.4,6.0,3,9,7,Low Risk
42,5.9,5,8,2,Moderate,3,8.1,10.1,5,6,10,Low Risk
61,7.9,3,10,4,Moderate,7,5.5,9.8,2,9,8,Low Risk
51,6.7,10,7,3,High,4,4.7,7.9,9,1,6,Low Risk
23,9.2,4,2,6,Moderate,1,4.4,6.8,7,8,2,Low Risk
63,6.1,9,6,9,Low,6,4.4,8.2,2,6,3,Low Risk
63,8.2,5,4,6,Low,3,2.7,7.1,2,10,5,Low Risk
25,6.9,1,1,2,Moderate,4,4.0,6.6,1,6,3,Low Risk
55,7.9,9,1,4,Low,5,8.5,7.7,10,2,7,Low Risk
36,6.2,2,6,7,High,2,5.1,6.1,5,8,4,Low Risk
45,6.7,3,10,4,Moderate,5,6.9,7.5,7,10,9,Low Risk
38,6.6,9,6,6,Moderate,4,1.0,7.4,2,1,3,Low Risk
54,5.6,9,5,7,Moderate,2,6.6,8.2,3,1,5,Low Risk
64,7.7,10,1,4,Low,2,5.2,5.8,6,7,8,Low Risk
55,7.7,5,7,7,High,5,4.5,8.4,3,6,3,Low Risk
61,7.6,8,1,4,Low,1,5.9,5.2,7,6,8,Low Risk
62,9.0,4,9,2,Moderate,0,4.5,5.9,10,1,6,Low Risk
21,8.8,8,9,4,High,7,1.3,5.9,4,6,7,Low Risk
29,6.3,6,10,5,Moderate,2,7.3,4.9,7,6,5,Low Risk
51,7.3,1,3,1,High,5,6.0,9.0,10,9,10,Low Risk
45,5.9,5,2,9,Moderate,5,4.9,5.1,9,4,8,Low Risk
19,6.8,5,3,6,High,6,3.6,5.6,1,4,2,Low Risk
21,6.0,3,8,1,Moderate,5,2.6,9.5,2,1,6,Low Risk
41,9.1,4,3,9,Moderate,5,5.9,5.9,10,6,10,Low Risk
46,7.3,6,9,9,Low,6,8.7,6.6,10,7,3,Low Risk
25,6.5,1,2,1,Low,7,5.9,5.0,4,3,6,Low Risk
25,8.5,2,1,2,Moderate,0,2.7,8.7,6,8,8,Low Risk
23,3.8,8,3,4,Low,5,6.0,8.7,6,10,3,Low Risk
44,4.0,4,8,6,Moderate,1,5.4,8.5,7,2,6,Low Risk
17,7.9,7,7,8,High,7,7.2,8.1,8,6,6,Low Risk
44,6.9,6,4,5,High,0,6.7,7.1,4,7,2,Low Risk
39,7.2,6,7,7,Low,1,1.0,6.0,9,1,2,Low Risk
39,4.9,5,7,1,High,1,6.6,5.4,1,2,6,Low Risk
49,6.8,5,6,7,Low,4,3.5,9.6,1,4,2,Low Risk
42,9.6,9,6,10,Moderate,0,2.7,8.5,10,2,10,Low Risk
51,8.0,10,2,6,High,0,5.1,5.6,2,4,6,Low Risk
53,7.0,3,3,5,Low,4,6.3,7.1,10,2,8,Low Risk
61,6.2,7,6,3,Low,7,2.2,6.4,3,9,4,Low Risk
55,6.2,10,2,10,Low,4,6.9,4.7,4,6,3,Low Risk
41,3.8,1,5,1,Moderate,3,7.0,7.4,1,4,5,Low Risk
40,7.2,8,2,3,High,5,5.6,6.2,10,8,8,Low Risk
28,8.0,5,8,2,Low,4,3.8,5.1,4,1,4,Low Risk
45,4.6,10,2,9,Low,3,3.5,4.0,2,6,3,Low Risk
23,5.9,6,1,5,Moderate,4,7.6,3.9,5,7,2,Low Risk
61,5.2,9,7,10,Low,0,2.5,6.3,2,9,6,Low Risk
57,5.4,2,3,7,Moderate,1,7.6,6.8,8,3,7,Low Risk
22,6.9,2,4,6,High,5,5.2,5.2,1,6,6,Low Risk
54,3.9,10,4,6,Moderate,2,5.3,8.3,5,8,3,Low Risk
22,7.7,6,3,3,High,0,2.1,6.9,4,8,3,Low Risk
51,7.9,6,8,6,Moderate,0,5.2,8.2,1,2,4,Low Risk
21,6.4,2,7,7,High,6,6.7,6.6,1,10,4,Low Risk
40,3.3,3,3,10,Low,2,2.8,5.4,6,3,3,Low Risk
48,5.4,9,7,6,Low,0,6.5,7.2,4,4,10,Low Risk
51,8.5,4,8,10,Moderate,5,5.7,4.5,2,2,4,Low Risk
37,3.0,6,6,10,Low,4,4.2,8.1,2,2,3,Low Risk
61,6.3,4,6,6,High,3,7.2,5.1,9,3,7,Low Risk
54,5.1,3,10,5,Moderate,7,1.1,8.8,8,2,9,Low Risk
26,7.9,2,5,2,High,2,6.2,6.3,7,8,5,Low Risk
49,5.9,10,4,3,Low,4,8.7,9.1,9,6,7,Low Risk
